yoka	โยคะ
bobele	เบเล
bobbaan	บอบบาง
bobai	โคไบ
boase	โอะซึ
boanta	อัณฑะ
boann	โฮันน์
boane	โระเน
boanas	อะนัส
boake	โระเค
boakai	โอะกิ
boades	อะเดส
bly	ล่ย์
blysse	ยศเส
bluurg	ลูร์
blutes	อุเทศ
blutch	ลุจ
blundy	ลุนด์
blumes	ลึส
blumeana	บลูม่า
blumay	ลมัย
blueye	ลือ
bluett	ลึท
bluege	ลือ
blüche	ลอเช
blubster	ล็อบสเตอร์
blt	อลท์
blouet	ลึท
bloude	โลเด
blotyn	โลญน์
blotts	ลอตต์
bloss	ลอสต์ส
blosse	บลอซ
bloson	โอโซน
blosne	โลเน
bloore	โลเร
bloome	โลเม
bloner	โลเน
blonda	โลนั้
blonay	โลนั้
blomst	ลอส์ท
blomli	โลมิ
blomia	โลมั
blomet	โลเม
blomen	โลเม
blokus	ล็คส
blokje	โลเค
bloga	โลงั
bloeme	โลเม
blodig	โลดิ
blocyn	โลญน์
blloku	โลกุ
blk	อลค
blitva	ลิตั
blitta	ลิตั
blitor	ลิตร
blitha	ลิตั
blitar	ลิตร
blists	ลิทซ์
blinn	กลินน์
blinman	ไลน์แมน
blinde	ลิเน
b-limp	ลิมป์
blimpies	ลิมปิกส
blima	ลิมา
blifil	ลีล
blidas	ลิดั
bleys	อลเวย์ส
bleyle	เลเล่
blewett	เลิฟเวตต์
blewer	เลเว
blevin	เลิน
bleuet	ลึท
bleues	ลึส
bleuch	ลุจ
bleter	เลเต
blesto	เลสต
bleste	เลเต
blesse	เลเซอ
blesch	เลช
blerim	เลิม
bleret	ลอเรต
bleona	โลนั้
blent	เลณฑุ
blenko	เลก็
blenis	เลิส
blenio	เลนิ
blendi	เลดิ
blenda	เลนั
blench	ลนช์
blema	เลไม
bleizi	เลี๊
bleier	เลิร์
bleick	เลิก
bleich	ลิช
bleibe	เลเบ
bleess	เลสซ์
bleek	ลืก
bleeb	ลืบ
bledes	เลเดอ
bledel	เลเดอ
blean	เลฮัน
blazin	ไลน
blazey	แลย
blažek	แลก
blazek	แลก
blaye	ลาเย
blavet	แลท
blaven	แลน
blavat	ลาธ
blaues	ลึส
blatty	ลัทธ
blatto	ลัทธ
blatte	ลัทธ
blatta	อัตถะ
blater	แลร์
blasty	ลัสต์
blastr	ลัสต์
blasterx	คลัสเตอร์
blastaar	ลำธาร
blass	ปลัสส
blask	ลลัสก์
blasi	ลัสพิ
blasis	ไลซ์
blase	ลัสเว
blasey	แลย
blasetti	แลตทิซ
blases	แลส
blaser	แลร์
blart	ลาร์ต
blarer	แลร์
blarel	ลอเรล
blant	ลั่นทม
blans	ลบันส์
blangy	ลั้ง
blangi	ะงิ
blane	ลาเน
blaney	แลย
blanes	แลส
blanchan	ปั้นจั่น
blamo	ละม่อม
blamey	แลย
blakk	ลักขะ
blake	ไลเค
blakey	แลย
blaketon	ไลเค็น
blaker	แลร์
blajan	ลาน์
blaisons	ไลเซนส์
blaise	ไลซ์
blairs	ไลซ์
blaich	ใ้ช้
blaia	ไลยั
blahyi	ละห้อย
blahak	ลาก้
blagar	ลาร์
blaesi	แลส
bladt	ลัฎฐิ
bladon	ลดอน
bladma	ลัมะ
bladet	แลท
blader	แลร์
bladen	แลน
bladel	อะเดล
bladd	แลดด์
blachii	ลาร์ฌี
blache	ลอเช
blacha	ลัช
blacas	ลาศ
blacan	ลาน์
blaauw	ลาว
blaans	านซ์
bkerké	เกร๊ก
bjordi	ออร์ดิ
bizika	อีกั
biyong	โยง
biyang	ญัง
bitung	ตุ้ง
bituin	บีน่
bitta	อิทธา
bitsu	อิทสึ
bitman	ตมัน
bitlis	ตลิส
bitini	ทินิ
biters	เธรซ
bitel	อินเทล
bitche	ท์เช
bisyri	อิศริ
biswa	วิศวะ
biswas	ศวัส
bisuba	บิซุ
bistra	อิสระ
bisto	พิสโธ
bistor	สโตร์
bisti	ธิษฐิ
bistat	สตัท
bistam	สตัม
bisso	ติสฺโส
bissa	อิสสา
bisong	ซ้อง
bisnis	สนิส
bismut	สมุท
bismil	สมิล
bismark	บิสมาร์ก
bisley	ซเล่ย์
biskra	อิสระ
biskop	สโคป
bisiki	ซิกิ
bishri	อิศริ
bishan	สหัน
bishai	อส์ไฮ
biset	วิเสท
bisesi	เศษิ
bisek	ภิเศก
bisch	ทิสช์
bisbal	ซบัล
bisaya	อิศา
birut	พิรุธ
biruni	อรุณิ
bîrsan	รสัน
birren	อร์เรน
biron	ไอรอน
birone	โรเน
birns	เอิร์นส
birnin	รนิน
birne	อิเรเน
birnes	อร์เนส
birnen	รเนน
birnan	รนัน
birnam	รนำ
birmy	ภิรมย์
birman	รมัน
birlik	บริค
birlas	อร์ลัส
birland	ไอร์แลนด์
birkin	อร์คิน
birkel	อร์เคล
birkei	อร์เคิ
birima	ริมั
birhan	อรหัน
biren	อิเรเน
birel	พิเรล
birdwell	ซิดเวลล์
biraya	ระยะ
biran	หิรัณ
birack	อิรัก
bipper	อิปเป
biplob	ปลอบ
biopol	โอพอล
bioche	โอเช
binyam	ณยัม
binto	ปิ่นโต
bintou	อินทุ
binton	นท้อน
binta	มินตั๋
bintara	อินทามระ
bintangs	มินตั๋ง
bining	นอิง
bingu	คิงุ
bingley	จิงเล่ย
bingil	งอิล
bingia	อิงิ
binghi	อิงิ
bingfang	ถิงฟง
binger	เงร์
bingen	เงน
binet	ทิเนท
biner	อินเตอร์
bineka	อิเนะ
bineau	อิเนะ
bindo	ซินด็
bindel	นเดล
bindang	ดินแดง
binch	เอินจ
binchy	อิจญ์
binchuan	หินชั้น
binche	นเช
binay	วินัย
binas	ปินัส
binasu	นะซุ
bimont	โมนต์
bimong	โมง
bimana	อิม่า
bilya	วิลยั
bilung	ลุ้ง
bilulu	อิลู
biloma	โลมั
billot	อิลโล
billott	กิลเล็ตต์
billop	อิลโล
billom	อิลโล
billi	มิลลิ
billett	กิลเล็ตต์
billers	วิลเลิร์ส
bilka	ดิลกั
bilida	ลิดั
bilʻam	อิลัม
bilet	อิเล็ต
bilen	กิเลน
bildad	ลดัด
bilas	ฟิลัส
biladi	อิไล
bik	อิก
bikram	กรัม
bikoko	โกโก้
bikku	ภิกขุ
bikkuni	ภิกขุนี
bikke	พิกเค
bikina	กินั้
bikela	อิเคะ
bikam	ฑิฆัม
bihang	ฮั้ง
bihain	ไฮน์
biffi	ริฟฟิ
biffen	ฟ์เฟน
bierre	เอร์เร
bienne	เบเน
biene	อิเรเน
bienes	เบนซ์
biello	เอลโล
bielek	อิเล้ก
bieker	เอเคอร์
bieito	อีโต้
bieffe	เอฟเฟ
bidwells	ซิดเวลล์
bidone	โดเน
bidone	โดเน
bidini	ดินิ
bidese	อิเดส
bidel	ฟิเดล
bideau	อิเดะ
biddels	ฮิดเดิลส
bidai	มิได้
bidaia	ไดั
bidaa	ธิดา
bichri	อจริ
bichl	สิชล
bichi	วิจิ
bichette	พิเชฏฐ์
bichel	เชล
bicha	ทิชั
bichat	ฉัฐ
bibrok	บร็อค
bibile	บิเล
bibich	บิจ
bibern	เบอร์น
bibel	กิเบล
bibele	เบเล
biatas	อิทัส
bialya	อัลญะ
bially	อัลลอย
bialek	อะเลค
bhuti	จุติ
bhudeb	ฮึบ
bhoti	โชติ
bhotas	ฮ็อตส
bhopa	หอพัก
bhola	โจฬะ
bholad	หลัด
bhi	อหิ
bhitri	หิริ
bhita	จิตั
bhisma	หิมะ
bhira	หิรัญ
bhinda	ฮินด์
bhiman	หมั้น
bhili	ฮิลฟิ
bhile	ฮิลเด
bhilai	อิไล
bhide	ฮิลเด
bhidein	ไฮเดิร์น
bhera	เหรา
bhengu	เองุ
bhelsa	เหอซั่
bhela	แหละ
bheinn	เฮิน
bheem	เฌอเอม
bhd	ฮด
bhawal	ฮาล
bhavin	ไฮน์
bhaven	แหน้
bhatkar	หัตถการ
bhati	ฮันทิ
bhatia	ไฮอะ
bhari	หาริ
bharia	ไฮอะ
bhante	อันเต
bhanot	ฮันต์
bhangu	ฮั้ง
bhand	ฮานด์
bhandari	ฉันใด
bhandaar	กันดาร
bhana	ฮันบะ
bhama	ฮามั
bhalo	ฮาโล
bhalod	หลอด
bhalka	ฮัลก์
bhalay	หาญ
bhakra	อัครั
bhajia	ไฮอะ
bhajanai	หมาใน
bhairawa	ไฮดรา
bhagan	ห่าน
bhagal	ฮาล
bhadrata	ไฮดรา
bhadia	ไฮอะ
bhabi	ฮับกิ
bhaag	ห้าง
bgn	บ่น
bəy	บ๋อย
beyman	ยมัน
beyer	เลเยอร์
beyers	เยร์ส
beyen	เอเย่นต์
bew	เอว
bewes	เทเวศ
bewell	เวลล์
beweis	เวิส
bevins	เอินซ์
betto	เสฏฺโฐ
bettis	เอตทิ
bettin	เอตทิ
bettik	เอตทิ
bettie	เอตทิ
betta	เสฏฐะ
betres	ธเรศ
betker	เอเคอร์
betita	ทิตั
beting	ติ๊ง
bethwell	แอตเวลล์
bethan	ต์ฮัน
betern	เทรน
betch	เคตช์
betans	ทั่นส์
betal	เฟทัล
betaab	ทาบ
besuki	สุคิ
besuch	สุจ
bestor	สโตร์
besti	เวสทิ
bestilla	สทิลลัส
bessin	ศศิน
bessei	เบสิ
bessa	เวสสะ
bessant	เกษมสันต์
bespin	สปิน
besök	เบสิค
besnik	ซนิก
besman	ซมัน
besley	ซเล่ย์
beslan	สลัน
beskid	สกิด
besika	ซิกั
beser	เลเซอร์
beseda	เซดั
beseda	เซดั
besch	เรสช์
besatt	สัตถ
besal	เบซัล
besaid	ไซด์
beruni	อรุณิ
berts	เตรทส์
bertsch	แฮร์ทสช
berti	เทรทิ
bertis	อร์ทิส
bersin	รสิน
berring	แบร์ริง
berrie	เอร์เร
berot	เฟร็ต
beron	เร่ร่อน
berom	เดร็ม
berns	เอร์เนส
bernos	รนอส
bernis	รนิส
berndt	รนดท์
bernds	รนด์ส
bernas	รนัส
bernam	รนำ
berlas	อร์ลัส
berkson	แทรกซอน
berki	เบรกิ
berkit	อร์กิต
berkin	อร์คิน
berkel	อร์เคล
berka	เบรกั
berit	เมอริท
berin	เกริ่น
berina	อรินั
berik	เกริก
beriki	ริคิ
berika	ริกั
berich	ริจ
berhan	อรหัน
berfin	อร์ฟิน
berey	เปเรย์
berewe	เรเว
beres	เอร์เรซ
beren	เคอเรน
berent	เร้นท์
berend	เรนด์
berel	เคอเรล
berek	เบอเรค
berdis	รดิศ
berdin	รดิน
berde	เบร์เด
berdel	อร์เดล
berch	เทรช
bercht	รชฏ
berchman	เวอร์ชั่น
berching	เวอร์จิน
berbak	อร์บัค
béraya	ระยะ
berati	รัฐิ
berang	อรัง
bérain	ไรน์
berain	ไรน์
bep	เอป
beppie	เอพพิ
beorh	เบรช
beontra	เซ็นทรัล
beonga	เอ็ง
bền	บ่น
ben-ze	เบเน
benway	นวัย
benton	นท้อน
benti	แอนธิ
bentin	นทิน
benteng	เท้งเต้ง
benta	เอนตัว
bensing	แลนซิง
benren	นเรน
benolt	นอลต์
benning	แฟนนิง
bennet	นเนท
bennes	นเนส
bennent	เทนแนนต์
bening	นอิง
bengoa	โง๊ะ
bengis	งอิซ
bengie	เองิ
benger	เงร์
bengbu	งบุ
bengas	งอัศ
benet	เดเนธ
benett	เนทท์
benes	เรเนส
beneke	เนเค
benedit	เบเนดิคท์
benedikz	เบเนดิค
benedick	เบเนดิค
benedeni	เบเนดิค
benedeit	เบเนเดต
benech	เนจ
benea	เนเนะ
bendon	นโฎน
bendito	แบนด์วิธ
bendich	เว็นดิช
benden	เอเดน
benan	เรนัน
benaki	นอะกิ
benade	นอะเด
benach	นัจ
bémont	โมนต์
bemen	เยเมน
bement	เมณฑ
bembe	เอ็มเบ
ḇel	เอล
beluet	ลึท
beluch	ลุจ
belta	เอลต้า
belpre	เอลเป
belper	เอลเป
belolo	โลโล
beloko	โลโก้
beloki	โลกิ
beloch	ลอจ
belmas	ลมัส
belman	ลมัน
belloy	เอลโล
bellou	เอลโล
bellot	เอลโล
bellos	ลลอส
belloq	เอลโล
bellon	เอลโล
bellof	ลลอฟ
belloe	เอลเล
bellod	เอลโล
belloc	เอลโล
belley	เอลเล
bellew	เเล้ว
beller	เอลเล
bellen	เอลเล
bellem	เอลเล
bellel	เอลเล
bellei	เอลเล
belleh	เอลเล
bellec	เอลเล
béllas	ลลัส
bellak	ลลัค
belkot	ลค็อต
belkis	อลคิส
belkin	ลคิน
belke	แอลเค
belker	เอเคอร์
be-li	เบลิซ
beliẓ	เบลิซ
belis	เบลิซ
belin	เพลิน
belich	ลิช
belfi	เดลฟิ
belfas	อลฟัส
belews	เเล้ว
belet	เดอเลธ
beles	เฟเลส
belene	เลเน
belem	เบเลม
beldon	ลดอน
beldin	ลดิน
belder	เอลเด
belden	เอเดน
beldeg	เอลเด
belchada	แอลฌา
belbin	ลบิน
belber	เอลเบ
belben	เอลเบ
belaya	เอลา
belas	เบลัซ
belang	ลั้ง
belama	ลัมะ
bélain	ไลน
belain	ไลน
belaid	ไลด์
belaga	เอลา
belae	เและ
belach	ลัช
bekure	คุเร
bekoff	กอฟฟ์
bekker	เอเคอร์
bekka	เมกกะ
bekkai	อกไก่
bekins	คินส์
bekim	เบคิม
bekier	เอเคอร์
bekes	เอกเทศ
bekele	เคเล
bekas	เยกัส
bej	เบ้อ
bejing	เอิง
beiyang	เอี๊ยคัง
beirut	เอิร์ท
beirne	เอิร์น
beires	เอิร์ส
beiras	เอิร์ส
beiral	เอิร์ล
beille	เอลเล
beilis	เอิลส์
beilh	เกิลฮ
beiles	เอิลส์
beila	เซิลอะ
beiern	เอิร์น
beiden	เอเดน
beich	เอินจ
beichuan	เอดิชัน
beichman	เอดิชัน
beiarn	เอิร์น
behnam	หนำ
behman	หมั้น
behmai	หใม่
behka	เบก้า
behets	เฮตส์
beheim	เหิม
behan	เลฮัน
behaim	ไหม่
befind	ฟินด์
beetwell	แอตเวลล์
beerwald	เอเมอรัลด์
beeker	เอเคอร์
bedros	ดรอส
bedon	เรดอน
bedmen	เอเดน
bedlin	ดลิน
bedirhan	เอดิชัน
bedini	ดินิ
bedias	ดิอัซ
bedern	เดรน
bedens	เด้นส์
bedell	เดลล์
bedein	เดิอน
beddi	เรดดิ
bedden	เอเดน
bedad	อึดอัด
bechu	เวชุ
becht	เรชต์
bechtels	เซเชลส์
bechi	เอะฉิ
bechey	เฉย
bechet	เจท
béchar	ชัร
bechar	ชัร
becham	ชะอม
beb	เอบ
beborn	บอร์น
bébert	เบรต
bebers	เบรซ
bebel	เลเบล
beatæ	เบญัต
beanna	อันนะ
bealle	อัลเล
beales	อะเลส
bealah	อัลอะห์
beaird	เอิร์ด
beadel	อะเดล
beachway	เอาชัย
beachs	เอชส
bdu	ดุ
bda	ดะอฺ
bdale	ดาเล
bcu	บุ
bcp	บป
bbopki	โบกิ
baʿali	อาลิ
bazett	แอทท์
bazaya	อายั
bazart	อาร์ท
bazard	าร์ด
bažant	านต์
bayya	อัยยัป
bayona	โยนั
bayman	ยมัน
baylis	ยลิส
bayles	อะเลส
baylay	ยลัย
baykam	ยกำ
baykal	ยกัล
bayers	เยร์ส
bayens	แอนส์
bayati	ญัติ
bayas	อัลยัส
bayard	าร์ด
bayani	าณิ
bayana	าณะ
bayama	อามั
bayaka	อัยา
bayaja	อัยา
bayad	อายัด
bayada	อาดั
bawsey	อะเวย์
bawre	ลัวเร
bawon	อะเว็น
bawly	บัวลอย
bawley	อะเวย์
bawden	ว์เด้น
bawarchi	มาร์ชิ
bawara	อาระ
bawan	ตะวัน
bawadi	อาดิ
bavent	แอนต์
bavarchi	มาร์ชิ
bavara	อาระ
bavant	านต์
bavand	านด์
bauri	บุรี
baulch	อัลช
bauang	อ่าง
batuta	ธุตั
batura	ธุระ
battyeford	รัทเทอร์ฟอร์ด
battra	อัตถะ
battn	วัฑฒน์
battleford	รัทเทอร์ฟอร์ด
battir	อัฏฐิ
battin	อัฏฐิ
battie	อัฏฐิ
battat	อัตถะ
battant	ฉัททันต์
batsa	วัตสะ
batsam	บทำ
batrun	ทรุ่น
batres	ธเรศ
batra	อัตรา
batok	สะโตก
batoka	โตกั
båtnes	ธเนส
batna	มัทนะ
batma	ปัทมะ
batloung	พัทลุง‎
batllo	อัลโล
batlle	อัลเล
batlin	ทลิน
batla	อัตลัด
batlan	ตลัน
batka	อัตคัด
batizi	อะธี
batiy	ษัติย์
batini	ทินิ
batila	ติลั
batey	กะเทย
batey	กะเทย
bateks	เทคส์
batea	สะเต๊ะ
batcha	ตจะ
batasang	ตัมสัง
batara	อาระ
batan	กะทัน
batam	อัลตั้ม
batali	อาลิ
batala	ตะละ
batak	กะตัก
bataks	ทักษ
batain	ไทน์
basyng	สยอง
basura	สุรั
basuki	สุคิ
basta	อัษฏา
bästas	สทัส
bastan	สตั้น
bastak	สตัค
båstad	สตั๊ด
bassas	สสัส
bassal	อสซัล
basran	ศรัณ
basmil	สมิล
baslow	สโลว
baslim	สลิม
baskul	ซกุล
baskis	สกิส
baskin	สคิน
basketbowl	บาสเกตบอล
basir	อาศิร
basina	สินะ
basile	ซิเล
bashrc	บัษร
basha	อัซฮัร
bashas	สหัส
bashan	สหัน
basets	เซทซ์
basels	เซลส์
basell	เซลล์
baschets	ดัสเชส
basay	อาศัย
basara	อาระ
basan	สัสัน
basant	สัณฑ์
barzai	อะไร
barwe	อาร์เว
baruun	อรูน
baruni	อรุณิ
barum	อารุม
barts	อาร์ทส
bartsch	แฮร์ทสช
barto	อาร์โธ
bartles	ฮาร์ตเลส
bartik	ฤติก
barten	ะเรน
bartal	อร์ทัล
bärsch	อร์สช
barsam	รสัม
barrea	ะเระ
baroy	อัรร็อย
barota	โรทั
barona	รอนั
baromans	โรมานซ์
barolo	โรโล
baroka	โรคั
barne	อาร์เน
barneo	รเน็
barnea	ะเระ
barndt	รนดท์
barnde	รนเด
barnas	รนัส
barnam	รนำ
barma	อาร์มั
barmat	รมัธ
barmakid	าร์ไมด์
barling	ดาร์ลิง
barlen	ะเรน
barlas	อร์ลัส
barland	ไอร์แลนด์
barlais	คาร์ไลส์
barkis	อร์กิส
barkel	อร์เคล
barkat	อร์คัต
barkan	รกัน
barind	ไอนด์
barina	อรินั
bariff	ริฟฟ์
bariba	ไอบะ
bargen	ะเรน
bareza	ะเระ
barewa	ะเระ
barett	เรตต์
barere	เรเร
barera	ะเระ
barent	เร้นท์
barend	เรนด์
barena	ะเระ
barel	าเรล
barela	ะเระ
bareja	ะเระ
barega	ะเระ
bareed	ะเรด
baredi	เรดิ
barech	เร้จ
bareau	ะเระ
bardis	รดิศ
bardin	รดิน
bardhan	คาร์ดฮัน
bardes	อร์เดส
bardes	อร์เดส
barden	ะเรน
bardem	อร์เดม
bardel	อร์เดล
bardas	รดัส
bardal	รดัล
bardai	อะไร
barco	บะโช
barch	อาร์ช
barbo	อาร์บ็
barboni	คาร์บอนิ
barbis	รบิส
barbin	รบิน
barbey	อร์เบย์
barben	ะเรน
barbas	รบัส
barbam	รบำ
barbak	อร์บัค
barbad	รบัด
baraya	ระยะ
baraw	ระรัว
barawe	ระเว
baratta	สารัตถะ
barato	บาธ
barati	รัฐิ
baratang	ประทัง
baras	ารัศ
barara	อาระ
barany	อรัณย
barangka	รังแค
barandal	แรนดัล
baram	ปะรำ
barami	อะไร
barama	อามั
baral	อารัล
baralt	รอัลต
baralong	ประลอง
barali	รัลอิ
barake	ระเค
barail	ไรล์
barach	อรัช
barachel	รัซเชล
baraba	ระบะ
baraa	อัตรา
baraat	ราฏ
baqani	าณิ
bappy	ยัพพย
bappa	อัพภัน
bapist	พิสต์
bapedi	แอดิ
bapan	อัพภัน
bapak	สะพัก
baoans	านซ์
banyas	อะนัส
bantry	อันตร
bantings	ฮันทิง
bantey	อันเต
banten	อันเต
bantay	อัณฑะ
bantayan	สัณฐาน
bantat	อัณฑะ
banso	ฮันซ็
bannya	อันนะ
bannon	นน่อน
bannay	อันนะ
bannau	อันนะ
bannan	นนัน
bannai	อันนะ
bannag	อันนะ
banman	นมัน
bankin	นคิน
bankim	นกิม
bankel	นเคล
bankaw	นกัว
bankalar	อังคาร
banite	อันเต
banita	อัณฑะ
banion	ไอออน
banik	อาณิก
banii	มะณี
banias	อะนัส
bangu	โอะงุ
bangun	งอุณ
bangui	ะงิ
bangsar	สังสาร
bangqing	อ้างอิง
bangoy	โงย
bangmai	นางไม้
bangli	ะงิ
bangkok	บางกอก
bang-han	กังหัน
banggi	ะงิ
bange	อะเงะ
bangêk	อังก์
bangas	งอัศ
banganga	เงอะงะ
bangal	งอัล
bangalla	งอัลไล
bangad	งัด
baner	อันเดอร์
banea	อะเงะ
bandna	อันนะ
bandi	แอนดิ
bandama	อันดามัน
bandakar	กันดาร
bancho	นโช
banche	นเช
banba	ฮันบะ
banban	นบัน
banay	อัตนัย
banawe	อาเว
banasa	นัสอะ
banareng	ระแนง
banani	าณิ
banali	อาลิ
bamun	ละมุน
bamps	สัมผ้ส
bamma	ธัมมะ
bamle	ทำเล
bambai	มไบ
bambae	ะแม
bamaya	อายั
bamars	าร์ส
bamare	ะแม
bamara	มะระ
balys	อัลยัส
balyan	อัลญะ
balus	อัลฮุส
balum	ตะลุม
balule	อัลเล
baluff	ลุฟฟ์
baluba	อัลบะ
baltit	อัลทิ
baltis	อัลทิ
baltin	อัลทิ
baltim	อัลทิ
baltia	อัลทิ
balthi	อัลทิ
baltes	อะเลส
balta	อัลทัว
baltasar	อัลอัซฮัร
balram	อะลัม
balos	าโลส
baloni	โลนิ
balne	วัลเณ
balmis	ลมิส
balmes	อะเลส
balma	อัลมัร
balman	ลมัน
ballzy	อัลลอย
ballow	ลลอว์
ballio	อัลโล
ballie	อัลเล
ballew	อัลเล
ballen	อัลเล
balleh	อัลเล
ballah	อัลอะห์
balkin	ลคิน
balke	พัลเค
balka	มัลกั
baliti	อัลทิ
balita	ลิตั
balis	อัลดิส
bálint	ลินต์
balint	ลินต์
baline	ลิเน
balil	อัลคิล
baliff	ลิฟฟ
balich	ลิช
balhut	อัลฮุ
balham	อะลัม
baley	ละเลย
balewa	เลวั
băleni	เลนิ
baleni	เลนิ
balena	เลนั
balena	เลนั
baleka	เลกั
baldon	ลดอน
baldi	อัลดิส
baldhu	อัลฮุ
baldev	อัลเด
baldeo	อัลเด
balda	อัลดัส
baldasar	อัลอัซฮัร
balcha	อัลช
balbi	อัลบี
balbin	ลบิน
balbia	อัลบะ
balbes	อะเลส
balbec	อัลเบ
balban	ลบัน
balayang	มายัง
balāti	อัลทิ
balaska	อะแลสกา
balash	อัลอะห์
balar	อัลมัร
balart	อาร์ท
balarm	อาร์ม
balard	าร์ด
balara	อาระ
balant	านต์
baland	านด์
balame	ละเมอ
balamb	อะลัม
balak	มะละกอ
balaki	อากิ
balakh	อัลอะห์
balaam	ล่าม
bakwin	กวิน
bakura	กุระ
bakti	ศักติ
baksi	ปักษิ
baksan	อักษะ
bakrin	กริน
bakrid	กริด
bakre	รักเร่
bakrač	อัครั
bakoye	โคเย
bakole	โคเล
bakoko	โกโก้
baklan	กลั้น
bakke	สอัคเค
bakken	คเค่น
bakkar	อัคคะ
bakkal	กกัล
bakkah	อัคคะ
bakil	อัลคิล
bakhri	อัคริ
bakhit	คหิต
bakhet	อะเกต
bakheng	ซักแห้ง
bakewell	แอตเวลล์
bakero	เคร็
bakema	อะเคะ
bakels	เคลส
bakchi	กชิ
bakaya	อายั
bakary	อารย์
bakarrez	บาร์เรล
bakare	กะเร
bakabs	อกับส
bajans	านซ์
bajang	อ่าง
baity	ไวทย
baitkhol	ไวต์ฮอล
baiti	ไอที
baith	ไวต์ฮ
baital	อิตัล
baisy	ไม้สอย
baise	ไอสึ
baisa	ไรส์อะ
bairs	ไปร์ซ
bairo	ไอรอน
bairoch	ไพโรจน์
baire	ไฮเร
baipho	ไอพ็
baiona	ไอออน
bainus	ไอน์ส
baine	ไซเน
baimoi	ไออิ
baima	ไอไม
baily	ไม้ลอย
bailly	อัลลอย
bailess	ไวร์เลสส์
baikie	ไอเค
baiken	ไอเค
baidi	ในดิ
baideng	ใบแดง
baida	ไมด์อะ
baidang	ใบแดง
baichu	ใ้ช้
baïana	าณะ
baiada	อาดั
bahwan	หวั่น
bahra	อาหรั่
bahosi	อโหสิ
bahor	ยะโฮร์
bahong	โหง่
bahman	หมั้น
bahles	อะเลส
bahaya	อายั
bahati	าธิ
bahary	อารย์
bahara	อาระ
bahan	อะหัง
bahani	าณิ
bahana	าณะ
baham	ระห่ำ
bahama	อามั
bahals	ฮัลส
bahai	อะไหล่
bahais	ไฮส
bahad	ระหัด
bahaa	ยะหา
bagnen	แบน
bagisu	ไอซุ
bagara	อาระ
bagans	านซ์
bagana	าณะ
bagamo	อาม็
bagali	อาลิ
bagade	อาเด
baf	อะฟ
bafla	บาลั
bafing	ฟิง
bafilo	ฟิโล
bafang	ฝั้ง
bafana	าณะ
baets	แพตส
baeti	แอนธิ
baete	แวเธ่
baeta	แม่ทะ
baeseman	แทสมัน
baert	แบรท
baers	แฮร์ส
baere	แมเร
baena	แมนั
baels	แยลส์
baelo	แฟล็
bækken	คเค่น
baekjong	แม่กอง
baekga	แอกั
baduel	ดึล
badrik	ดริก
badran	ดรัน
badong	โด่ง
badlam	อะลัม
badis	อัลดิส
badini	ดินิ
badham	อะดัม
badgam	อะดัม
bader	อันเดอร์
baders	เดรซ
baden	ระเด่น
badens	เด้นส์
badeni	เดนิ
badelt	อะเดล
badawy	ดัวย
badams	อดัมส์
badami	อะดัม
badama	อามั
badala	ดัลอะ
badai	กะได
badain	ไดน์
badaam	ด๋าม
bacoti	บัติ
bacich	ใ้ช้
bachy	อาชญ
bachya	ชยะ
bachus	ชุส
bacht	ดัชต์
bachri	อจริ
bachrach	จราช
bachok	โชค
bachmans	คัชมัซ
bächle	ชเล่
bachiler	ชิลเบร์
bachet	เจท
bacher	เชร์
bachem	เจม่
bachei	เชิ่
bacheh	เจห์
bachat	ฉัฐ
bachar	ชัร
bacchus	ปัจจุส
bacarrat	คาร์รัท
bacara	อาระ
bacach	าจ
babyel	อะเบล
babut	อะบูฏอ
babris	บริส
babrak	บรัก
babita	บิทั
babini	อะบี
babil	ระบิล
babile	บิเล
babila	บิลั
babik	ะไบค์
babie	ไบเค
babidi	อะบี
babich	บิจ
babett	เบตต์
baber	อัลเบร์
babers	เบรซ
bab-el	อะเบล
babelu	แบล๊
babell	เบลล์
babeli	อะเบล
babele	เบเล
babba	ฮับบะ
babaya	อายั
babara	อาระ
baban	สะบั้น
babans	านซ์
babani	าณิ
babali	อาลิ
babak	อัลบัฆ
babachan	ราชัน
baatur	อาทร
baath	ยาทฮ
baast	ศาสต์
baasters	มาสเตอร์
baasmo	อาม็
baarìa	อาระ
baardsen	การ์เดน
baarat	อาร์ท
baaraat	มารยาท
baanah	าะห์
baalu	าลู
baals	าเลส
baalke	าเล
baalis	อาลิ
baalim	อาลิ
baalen	าเล
baaka	นาคั
baader	อาเด
baadal	อาดั
baa-chan	ราชัน
baabu	อาบู
baabda	อาดั
baaad	สะอาด
baaack	บาค
ɑir	อิร์
azt	อัธ
aztlan	ตลัน
aztech	เตจ
azrail	ไรล์
azrael	แรล
azpiri	พิริ
azkuna	คุณั
azkena	เคนั
azelle	เอลเล
azecho	เอโช
azaiba	ไอบะ
ayyapa	ญญา
ayyad	อายัด
ayuush	ยูห์
ayuttaya	ยุทธนา
aytin	ยถิง
aytch	อยท์เช
ayshan	สหัน
ayriss	ริสซ์
ayreon	อเร็น
ayrenn	เรนน์
ayo	โย่
ayoung	ยุ้ง
ayouch	ยุช
ayoreo	โยเร
ayoni	โยงิ
ayolas	ยลัส
aynayn	นัยน์
aynam	ยอดน้ำ
aymonier	มอนิเตอร์
aymone	โมเน
aymond	โมนด์
ayminy	ยมิน
