โยคะ	오카
เสฏฺโฐ	ペット
ตรอน	에론
เลธอน	메톤
ทินั	레티나
ซมิน	에민
ศิรั	시라
เซนั	에서나
เร่ร่อน	에론
โรเน	페론에
โรลั	에롤
รนิน	에린
เอร์เนส	에린에
เพริศ	메릿
เกริ่น	에린
เกริ่น	에린
อรินั	에리나
เรเร	세레레
เร็ล	베럴
เคอเรน	에렌
เร้นท์	에렌
เคอเรล	에리엘
เอร์นัน	에란
เปร็	페로
เดเปน	게펜
เซนทรัล	엔탈피
นท้อน	펜톤
เอนตัว	엔타
เอนตัว	엔타
เวนิส	에니시
เองิ	엔기
เองิ	에니오
เองิ	엔기
เใน	난이
เใน	에나미
เซมพิ	엠피
มิเล	에밀레
แมส์	맷
เอลต้า	엘타
เอลต้า	엘타
ลมิส	에밋
ลมัน	겔만
ลิตั	利他
เบลิซ	엘빗
เพลิน	엘킨
ลิเน	＿
ลิเน	＿
เลเร	첼레
เลเน	엘레네
เลนั	엘레나
เคอเลิ	엘에이
เและ	엘레아
เอลา	ελλάδα
เวคิน	엘킨
กะดะ	카다
เอินซ์	에이노
เฟง	熱風
ดรอน	에론
เอเดน	덴오
เลเบล	에벨
อะเดล	아델
เด๊อ	德
เด๊อ	德
อัยา	야파
อายัน	아얀
อาม็	바야모
เวิ่น	가웨인
ธุระ	마투라
ตุโล	아툴
อัฏฐิ	아틴
ฉัททันต์	아타니
อัตถะ	아탈
ทไธ	あたい
ตรอน	아론
ทริน	아린
ทรัน	아란
วะฏ็อน	아톤
โตเน	토네
โตนั	알토나
ต่อมั	하토마
ทโมน	아토몬
ทลอน	아톤
ทลิน	아틴
ละติน	아틴
ทินั	티나
ต์ฮัน	아한
ทไฮ	あたい
เถระ	알테라
อายั	하타야
อาระ	하타라
กะทัน	카탄
าณิ	아타니
าเน	사탄에
ทะนะ	아타나
ทัลก์	아탈
อาลิ	탈이
ตะละ	아탈라
ไทน์	안타인
อะสึ	마술에
สตั้น	استان
ศศิน	아사신
ปัสสัทธิ	아싸이
สสัส	아싸
อัสสาสะ	쌌다
ลัสพิ	닷피
โซเน	자손에
โซนั	소나
โซเล	솔에
สลอน	아손
ศิริ	아시리
อัศวิน	아신
อัซฮัร	暗殺
สะตุ	사투
าธิ	아산티
อาระ	라사라
สัสัน	아산
าณิ	아사니
าเน	아산에
อาลิ	타살이
ไซซ์	아사이시
อาดั	아사다
ชะรอย	차례
อาร์โธ	아루토
ฉัตรี	채리티
ะเระ	아레아
อร์แท	아태
ะเรน	아센
อาร์เร	아라레
ะเระ	아레아
อะไร	아라이
อร์พิน	아핀
โรยั	아뢰야
โรเน	아론에
รอนั	아로나
โรมั	아로마
รนัน	아난
รมอน	아몬
อาร์มิ	아롬이
อาร์มั	아리마
รมัน	아만
ดาร์ลิง	아링
ะเรน	아렌
ริเย	카리예
ไอออน	아리온
ะเรน	마리엔
ะเระ	아뢰야
ะเระ	아레아
าเรล	카렐
ะเระ	아레아
ะเระ	아라우
รดิน	아딘
ะเรน	아덴
อร์เดล	아델
ะเระ	아레아
คาร์บอนิ	아론이
อารัญ	아라의
ไอราวัณ	아라와
รัฐิ	라티
ระณะ	아라나
อารัล	아랄
ระกะ	아라카
ระบะ	아라바
อัพ	앞
พุฒิ	菩提
ปรอน	아론
ะเระ	아레아
ภรัณ	아란
ปปิน	아핀
ผลิน	아핀
พลัน	아판
พิรั	앞이라
ไอบะ	피바
เพลส	아펠
เปล็	아펠
อาร์น	아판
อัพภัน	아판
อันธิ	안티
อันเต	카누테
นึล	마누엘
อัณฑะ	아투아
อันเต	안테
นทอล	아나톨
อันธิ	안티도
นทิน	안토인
นทิก	안티카
อันเต	안티케
อัณฑะ	岸田
อันเต	안테
อันเต	아넬
อัณฑะ	あんた
นทัล	안탈
อันธิ	安泰
ฮันทิง	안팅
อัณฑะ	안압
อังศุ	안수
อันธิ	노티
อันเต	아노테
นอร์อะ	가노라
อ่อนน้อม	안나옴
นเนท	안네
นนัน	安南
อันนะ	안날
นกุน	乾坤
ไอออน	애니온
อาณิก	아니키
หันเห	안혜
ฮันทิง	창팅
กังหัน	唐山
นังนัง	邦男
งอิน	안긴
อะเงะ	안게
เงร์	안게
อะเงะ	안가
ไง้	난가이
อันเต	아네테
เนนส์	아넷
อะเงะ	안에다
อะนัส	아닷
นโช	안치호
ชาตา	찬탈자
อาร์ม	안암
อาระ	아나라
อาเป	카나페
อันดามัน	안다만
าเล	앞날에
ตาลาน	날아간
ไนซ์	나잇
ไนด์	아나이
อาดิ	나디
าบะ	바나바
มุนิ	자문이
มึล	자무엘
ะเรน	함렌
ตัมเปเร	탐페레
น้ำพุ	캄푸
อัมพร	암로
อัมพร	암포라
ทัมปิเนส	람피오네
อัมพิ	암피사
อำพน	캄펜
คำเป็น	캄페온
อำไพ	남파
อำไพ	남파
อะมัล	람팔
ธัมมะ	암마
อำมร	암마
เมนั	메나
ดัมเบ	암바에
มเบอส์	아멧
กัมบะ	암바
าร์ส	아맛
าณะ	아마나
อะไม	아마이
แมล	사마엘
อัมพา	아마가
อัลทัว	알타
ลพิส	알피
โลโต้	아오토
าโลส	갈옷
ตะลอน	알톤
โลนั้	알토나
ลมอน	알몬
อะเลส	발멧
อัลมัร	알마
ลมัน	알만
ลคิน	알킨
พัลเค	알켄
มัลกั	탈카
อัลญะ	알리야
ไอออน	알키온
อัลคิล	알킬
ลิดั	알이다
อัลฮับ	앓아
เลทั	아에타
ลดอน	알동
อัลดิส	알디
ลดิ๊ก	알디
อัลเด	알덴
อัลบี	알비
อัลเบ	아베에
อายั	알아야
อัลมัร	알아라
อัลอัยน์	알단
ลั้ง	알탕
บ้านจั	알잖아
อาดั	알마다
กุศะ	야쿠사
คุ้ง	쿵
กริน	아린
กิเล	아킬레
เกรซ	아켓
อาลิ	자칼이
จ้าน	아잔
ไม้โท	아이토
ไอซ์ส	이싸
อิสระ	아이소라
ไอออน	아이손
ไอสึ	白色
ไรส์อะ	아이사
ไทป์ไฮส	아이팟
ไอออน	아이콘에
อัณฑะ	あんた
ไอนด์	아이네
ใขณะ	아이나
ไก่โห่	타이호
กะจัง	台場
หมั้น	아만
อายั	않아야
อะหัง	아한
ฮันส	아핫
าณะ	카하나
อามั	사하마
อะไหล่	아할
าบะ	아하바
จะนะ	아가나
บ้านจั	観察
เฟร็	애로
แมริ	아에리
แมเร	카에레
แอ็ล	나얼이
แหละ	앨마
ดรัม	아람
โดเร	안도레
มะฎอน	아돈
ดอนั	마도나
ดมัน	아만
ดลัน	아단
ดินั	아디나
อะเดส	가듯
ระเด่น	아덴
าเดม	아뎀
อะเดล	뗄
อะดัม	땀
มะดัน	아단
อามั	참아
อะบูล	아불
บริล	아릴
อะเบล	아벨
อะบี	비리
เบลล์	아벨
เบลอั	아벨라
ฮับบะ	아빠
สะบั้น	아반
าณิ	카바니
อาดั	아바다
อามั	아맛
อิ่น	イン
ยอุ	毓
ยุโรป	유로
พยุหะ	유하
บริง	베릭
ญ์ณรัณ	예란
ญรัศม์	요람
ล็ง	雨龍
อัตถะ	ヤッター
แยร์ส	야렛
ยะลา	얄타
อักโข	야코
วิ่ง	윙
วนดิ	윈디
วัตุ	완투에
วงะ	관가
วัฒนั	완다
อัลญะ	와야
ยุ้ง	부융
โยง	우용
ยันต์	不厭
ยันต์	不厭
อู่	ㅜㅜ
ตุ้ง	유퉁
สุตตะ	우타타
ตมัน	우만
ตลัน	우탄
ทินั	붙이나
บูทิ	붙이게
เถระ	테라
บึตต์	ぶた
อุแท	우타르
อุทาน	우탄
ตั๊ง	玉堂
ทะนะ	우타나
ไทน์	타인
บูทั	숫타
สตั้น	우탄
อุษณิ	부소니
โซเน	루손에
สุษิร	우시로
ศิริ	부시리
สิ้ง	싱
สินะ	쿠시나
มุสิก	우시쿠
เสต็	세토
อุศเรน	우선
สัณฑ์	우산
อูมั	우루마
อูเด	후루데
บุรพทิศ	브로니
รนำ	우남
อร์นัล	우랄
อร์เคิ	분케이
รกัน	우라칸
อรหัน	우한
เรทิ	레티
ทุเรศ	투렛
อุศเรน	裕仁
รดิน	우딘
รบัน	우리반
อุรา	우라와
อุไร	구라리
อรัง	우랑
ระณะ	우라나이
ระกะ	우라칸
ไรล์	우라실
ไรก์	우라이
อุภัย	파야
นึล	누엘
ปุณโณ	운노
มุงิ	웅이
งอิล	충일
เงิ	운게니
เงิ	운게니
เงอะงะ	붕어나
เนเน่	쿠네네
มุนด็	운도
มุนดิ	분디
อุณา	우나라
นอุมัร	우마루
ลมัน	울만
เบลเล	不樂
ลดอน	울던
ลดำ	우담
กุระ	후쿠라
กริน	우린
คมัน	우만
คเค่น	우켄
สุขิน	루킨
กินั้	쿠키나
เคเล	可樂
กะจัง	劇場
กะวะ	루카와
กัง	루캉
กะขะ	누카카
บั่ง	우장
หมั้น	우만
ไฮส	우하이
บุระ	부게라
ฝั้ง	乳房
อูมั	두마
ดรัน	우란
ดอนิ	주돈이
โด่ง	우동
ดินิ	후디니
ดิ้ง	우딩
กุฎี	우디의
พุดดิ้ง	푸딩에
จ้อน	우촌
ชลิ	うち
ชิส	うち
อชิน	チン
เจน	沉
เจน	浮沈
อุชุ	ちゃう
อชัน	無産
ฌัค	ชัก
โบง	우봉
บอนั	후보나
ติ์	梯
สลิม	심에
เสิศ	세이소
หรยณะ	료나
รมอน	류몬
รูม	루움
รุธิร	루티
บรุษ	부실에
รุกิ	웃키
รุสึ	루세
รึน	루센
รื่อ	入れ
รูนส์	潤色
รุณย	루노
รนอส	루노
รนิส	루니
อรุณิ	루니아
รุณย	루네
อร์เนล	룬을
อรุณิ	룬네이
อร์มัส	루마
รอุลต	룰에
อรูโล	룰로
รเลส	룰렛
รื่อ	룰에
บรุน	루네
รุกข์	루카
ริเด	루데
รุจน์	루한
รึส	루게
เรเร	入れ
รึน	우에노
กรึล	루엘
เรลล์	루엘
รูดิ	루디
รูเด	루데
รึน	루뎬
อร์เช	如何
รึส	루체
รอันท์	루안
โรเน	로네
โรคั	오우카
โรสึ	로우어
โรทั	로하
โรทั	로탄
ร็สต์	롯테
ฤษณะ	로시나
โรมานซ์	ρωμανός
โร็ค	로케
โรเน	로테
โรบินสัน	온산
โรเน	롤에
รนิต	로니
รนิน	로닌
รอนั	로니가
รงณ์	롱안
โรเน	로네
โรเน	로네
เร็นด์	ロンド
โรเน	로체
โรมั	로마
โรคั	로파
โร้กส์	로켓
โรคั	로카
รกัน	로칸
ริปชั่น	日産
โรจน์	로헨
โรหิต	로힛
โรงิ	록이
โรเตอร์	베로에
โรเตอร์	베로에
เรเค	뢰케
โรคั	로카
รดิน	로딘
โรดเด	로데
โรดเด	로띠
รดัส	로다
รดัล	오달
โรคั	로카
โรเช	로체
โระซุ	로아소
อรีน	리인
ริทตฺ	리토
เรทติ้ง	라이팅
ริทตฺ	리타
ริตส์	리토
ริตส์	리테
อิตัล	이탈
ริฒิ	리타이
รกิศย	리셰
ริษฐ์	릿토
ฤษฏิ์	리티
ริสซ์	릿쇼
รีส์มัง	리만
ริกั	릿카
ไรส์อะ	리사
ริสซ์	리사
โรเน	리오네
ริงโทน	린턴
รีนส์	린시
พรินน์	린나
อรินั	린나
ริ์นด็	린데
อรินั	린다
อรินั	인차
รีร	리미
รมัน	리만
ริมั	리마
ริโล	리온
ริโล	일호
รเลส	릴에
อร์กิส	리키시
ริกั	리하
อรีต	리지
ริฒิ	리게티
อรีต	릭이
รีด	리기다
บรี	부리기
เร้นท์	리엔
เรนส์	리엔
ริดซ์	리도
ริเด	리든
ริเด	이데이
รดัส	리다
อรีน	이친
รีร	리비
ริเบ	리비우에
รัฐิ	라티
รอันท์	리안
ระณะ	리아나
ไรน์	리바인
อเร็น	レオン
อเร็น	レオン
เรเน	렌에
เริส	레잇
เริน	레위인
เริน	레인
อรุณิ	릉이
เริส	레우밋
เริล	레일
เรตต์	レット
เรทั	레타
เรเธ	레테
เรเธ	레텔
เรทั	레타
เรสส์	렛샤
เรสส์	레시
เรสส์	에쎄
เรสต์เลส	레이솔에
เรซิน	레시
เรซึ	레서
อร์ซัล	레알
เรไร	레라
แร็ส	러시
เรทั	렌타
เร็ท	레노
อเร็น	레논
เรนน์	렌뇨
เรเน	렌넬
แบนเนอร์	任內
รนิน	레닌
เรง	렌가
เรเน	렌에
อร์เนท	렌에
เรเน	렌에
เรเน	렌에
เรนัส	레나
เรณุ	레나
เอมอร	레모
รมอน	레몬
รมเค	렘케
อเรม่า	레마
รมัน	레만
เริน	레인
เรดิธ	레이티
เรเธ	레이테
เรีอ	레이시
เร้ดดิ้ง	리딩
ริเด	레이덴
อเร็น	레호안
เรชั่	레히아
อเร็น	레공
เรณิ	레긴이
เรเนส	レース
เรเนน	레센
เรเดล	레벨
เรดอน	레도
เร็ว	레도
เร้ดดิ้ง	레딩
เรดิ	레딕
อเร็น	レオン
เรเค	레체
เรชั่	렛차
เรเบ	레벡
เรนัน	레만
เรา	라차
ไรน์	ライン
แรล	라엘
ระดะ	라다
ราเย	라셰
ราวั	라와
ไรส์	라잇
ไรน์	ライン
แรน	랜
แรน	랜
รอุลต	라울
แรร์	라우에
ระตู	라투
ระตู	라투
รัลอิ	랄이
ระกะ	라티카
แรร์	라테
อราฑะ	라타
รัสเซีย	랏세
บรัสเซลส์	라셀
ระกะ	라카
ระสี	라시
ฮันทิง	안팅
ระโนด	라노
รังค์	란코
ระกะ	란카
ระงิ	라니
รนิน	이란인
รนิก	라니
ผรั่งเศส	란게
รังเพลิง	앙겔리나
แรร์	란에
รเนน	란덴
แรนดัล	랜달
บรันเด็น	란동
บรั่นดี	란디니
รนเด	란델
อร์นันเดส	란덴
บรันเดิล	란델
ระดะ	란다
ระแนง	란덴
กระฉ่อน	란초니
อะนัส	라낫
บรัมส์	라못
ระแม	라메
แรซ	라메사
แรร์	라메
แรล	아멜
ราฮ์	라마
ระลอก	랄로
รัลเร	랄레
อัคนิ	라킨이
ระณะ	라쿠나
ระกะ	라하
อร์เคล	라켈
ไรน์	라이네
ไรล์	라일라
แรร์	라이에
ริเด	라이델
ราหุ	라후
ราห์ม	라힘
ไรห์ล	라헬
ไรม์	라힘
ระเหย	라흐
แรซ	랫
แรม	램
แระ	라하
ระหัด	라하
ระงิ	락이
ไรส์	라잇
ไรน์	라긴
ร้าว	라가와
ราร	라가
รานฺ	라간
ลบ้านธิ	바간이
เรสส์	랫
แรนดัล	랜더
ระดู	라두
ระดะ	라두가
ระเค	라데
แรดิ	라디
ระแด	라데
อะเดส	랫
แรร์	라데
รานฺ	라디안
ระดะ	라다
ระกะ	라카
บ่อแร่	래치에
อรัช	라호
ระบุ	ラブ
ระบม	라붐
ระบอบ	라보
รบิน	라빈
ระบะ	라방
โอโซน	오손
ยลิน	올인
ยกัน	오칸
ญัง	오양
วรัล	오랄
โย่วถิง	웨이팅
เว่นส์	오웬
ตรอน	오톤
โอ่โถง	오톤
ตนั่น	오난
ออสติน	포틴
ต์ฮัน	오한
เติน	옥테인
โอโซน	오톤
โอโซน	쏜
ออสซี่	오씨
โซเน	보손에
โซนั	고소나
สคิน	옷인
ออมสิน	옷인
สิ้ง	싱
เสต็	세토
โมเสส	옵셋
ออร์โธ	오르토
ออร์เน	토루네
โอโซน	오손
วอร์ร็	오루로
ออร์เร	오리에
อร์เร็	오러
ทรอมโบน	코로몬
โรมั	오로미아
คอร์นิ	오리니
อร์เนส	오넷
ออร์เน	오렘
รนัน	오난
นอร์ม็	오로모
รมัน	오만
ออร์กี	오레키
อร์คิน	오린
ออร์คิส	오리사
อรินั	오리나
อรีน	고리인
เรทั	코레타
ออร์เฟน	오렌
บอยเริ	모레이
เริน	로레인
โอะเระ	코레아
ออร์เด	おでん
อรัง	오랑
ระณะ	오란다
คอรัล	오랄
ระเค	오래
ระบุ	오락부
ปมัน	오만
โอภา	로파카
โอนเอน	오오네
ซ็อนเย	오녀
นทิน	오닌
ออนแท	폰테
ออนแท	곤타
โอนเอน	온센
นอร์อะ	오노라
นเนล	본넬
นนัท	온나
โบนิน	오닌
นอินส	오닌
นิเน	혼인에
อองส์	공수
โบง	봉지
งอิล	손길
โลงั	온가
งอัย	온가
เนตั้	보네타
เนสส์	오넷
เนง	能
โอนเอน	おでん
ณัติ	도나티
นัสอะ	나사
โมง	오몽
มไม	오마이
เอ็มเค	오마케
มิ่ง	호밍
โรเมอร์	오메라
โอมาน	오만
มันส์	오만수
อมันน์	오만
โอโซน	올손
ลองใน	龍男
โลกั	볼키아
ลมัน	돌만
ลิ้ง	올딩
เลทั	올레타
เลสต	볼넷
เลนั	올레나
ลดอน	올던
ลดิน	올딘
ลดัน	돌단
ลั้ง	波浪
ลัมะ	喇嘛
ออกทุน	오쿠노
กลั้น	오칸
ออร์กัต	오카타
พอกัน	오칸
โตใข่	오카이
แคร่	오카에리
ออิง	인고
ออิง	인가
โบโฮล	보홀
โรหณะ	오하나
หมั้น	오만
หลิน	올인
โอไฮโอ้	오하이오
โอหัง	오한
โอไฮโอ้	오하이
ออร์เน	오에네
ออร์เด	외레
เอิง	외인
โอโซน	오손
ดรอน	오돈
โอดโอย	오돈
ดอนิ	조돈이
โด่ง	오동
ดมิน	오딘
ดินิ	오딘이
ดินั	어디나
ออดิโอ	오디오
ออดิโอ	디아오
เด็ค	오더
เด้นส์	오덴세
เดนิ	오더니
อ็อตเดล	오델
เดอโล	오델로
เดลล์	오델
เดลิ	德里
เดอเล	모델에
โรดเด	소떼
โอชะ	お茶
โอชะ	お茶
เชะ	お茶
ชะอม	お茶
เบเล	노벨에
บอบบาง	오빤
โคไบ	오바시
โอะซึ	오와세
อัณฑะ	오얀타
โระเน	오찬에
อะนัส	오아나
โระเค	오타케
โอะกิ	아카이
อะเดส	오뎃
ลือ	乐业
บลอซ	봇에
โอโซน	오손
โลนั้	온다
โลเม	오멘
อลค	لك
ลิตั	利他
ลิตั	利他
ลิตั	利他
ลิตร	利他
กลินน์	臨安
ไลน์แมน	인만
ลิเน	隣地
เลเล่	乐业
เลเซอ	에쎄
โลนั้	일어나
เลนิ	에니오
เลดิ	엔디
เลนั	엔다
เลี๊	梨子
เลเบ	類別
เลเดอ	에델
ลัทธ	アット
ลัสพิ	老死
ลัสเว	藍色
ลั่นทม	版圖
ลบันส์	蘭斯
ลั้ง	琅琊
ะงิ	안기
ลาเน	일안에
แลส	아넷
ปั้นจั่น	안치한
ลาน์	아잔
แลส	애시
ลดอน	아돈
ลัมะ	喇嘛
แลน	아덴
อะเดล	아델
ลาน์	아찬
ลาว	ລາວ
ออร์ดิ	조디
โยง	이용
ญัง	이양
ตุ้ง	이퉁
บีน่	비트인
อิทสึ	いつ
ตมัน	이토만
ทินิ	티니
อินเทล	시텔
วิศวะ	이사와
บิซุ	리수바
อิสระ	잇타
พิสโธ	잇토
สโตร์	잇토
ธิษฐิ	이세티
สตัท	잇타
สตัม	이삼
ติสฺโส	있소
อิสสา	이싸
ซ้อง	이송
สมิล	이밀
สโคป	잇코
ซิกิ	이시키
สหัน	愛山
อส์ไฮ	篩
วิเสท	이세티
เศษิ	이세시
ภิเศก	이세키
ซบัล	이시발
อิศา	이사야
อรุณิ	비루니
อร์เรน	이렌
ไอรอน	이론
โรเน	이론에
รนิน	이란인
อิเรเน	이리네
รเนน	이렌
รนัน	인안
รนำ	이남
รมัน	임안
บริค	比例
อร์คิน	이린
อร์เคิ	이레이
ริมั	키리마
อรหัน	이한
อิเรเน	이렌
พิเรล	이럴
ระยะ	이라야
หิรัณ	이란
ณยัม	이남
ปิ่นโต	킨토
อินทุ	音頭
นท้อน	윈톤
มินตั๋	킨타
อินทามระ	이나라
มินตั๋ง	金堂
นอิง	이닝
คิงุ	인구
งอิล	신길
อิงิ	인기가
อิงิ	익히
ถิงฟง	行方
เงร์	잉에
เงน	인근
อินเตอร์	因而
อิเนะ	네카
ซินด็	インド
นเดล	핀델
ดินแดง	인당
หินชั้น	金川
นเช	인체
วินัย	이나의
ปินัส	이나사
นะซุ	이나시우
โมนต์	이몬
โมง	이몽
อิม่า	치마나
วิลยั	일야
ลุ้ง	일응
อิลู	旅路
โลมั	일마
มิลลิ	일일이
ดิลกั	일카
ลิดั	일이다
กิเลน	일엔
ลดัด	일다
ฟิลัส	길앗
กรัม	이람
โกโก้	미코코
ภิกขุ	ジック
พิกเค	이키케
กินั้	위키나
อิเคะ	이케아
ฑิฆัม	이카미
ฮั้ง	이항
ไฮน์	이하인
เบเน	비엔나에
อิเรเน	비엔에
เบนซ์	베넷
อีโต้	에이토
โดเน	이동에
โดเน	이동에
ดินิ	아이디니
ฟิเดล	이델
อิเดะ	이드
มิได้	歴代
ไดั	다이아
ธิดา	이단아
อจริ	いち
วิจิ	いち
ทิชั	體察
บิเล	빌에
เบอร์น	이벤
กิเบล	이벨
เบเล	벨에
อัลญะ	일야
จุติ	후티
โชติ	호티
ฮ็อตส	ほた
หอพัก	호파
อหิ	ひ
หิริ	히토리
จิตั	히타
หิมะ	히마
หิรัญ	히라
ฮินด์	휜다
หมั้น	하이만
ฮิลฟิ	힐이
ฮิลเด	힐에
อิไล	힐이
ฮิลเด	히데
ไฮเดิร์น	히데미네
เหรา	헤라
เองุ	神谷
เหอซั่	엘사
แหละ	헬라
เฮิน	헤인
เฌอเอม	헤엄
ฮาล	활
ไฮน์	하인
แหน้	하엔
ฮันทิ	하티
ไฮอะ	하티아
หาริ	ハリ
ไฮอะ	하리와
อันเต	한테
ฮันต์	한오
ฮั้ง	한구
ฮานด์	한데
ฉันใด	한다리
กันดาร	한다리
ฮันบะ	ハナ
ฮามั	하마
ฮาโล	할도
ฮัลก์	하카
อัครั	ハラ
ไฮอะ	하지가
หมาใน	하자니
ไฮดรา	하라와
ห่าน	하간
ฮาล	하갈
ไฮอะ	하디와
ฮับกิ	합이
ห้าง	하악
บ่น	بن
ยมัน	에만
เอเย่นต์	에셴
เสฏฺโฐ	ペット
ทิตั	티타
ติ๊ง	게팅
ต์ฮัน	에탄
เคตช์	エッチ
ทั่นส์	에탄
เฟทัล	에탈
สุคิ	에스키
ศศิน	씬
เบสิ	벳시
เบสิค	벳키
ซมัน	에만
สลัน	에산
ซิกั	제시카
เซดั	에서다
เซดั	에서다
เบซัล	네살
ไซด์	에사이디
อรุณิ	에르니
รสิน	에린
แบร์ริง	에리링
เอร์เร	에리에
เร่ร่อน	에론
เดร็ม	메롬
รนำ	에람
เบรกิ	エレキ
อร์คิน	에린
เบรกั	에루카
เกริ่น	에린
อรินั	에리나
เกริก	에리코
ริคิ	りき
ริกั	えりか
อรหัน	에란
อร์ฟิน	에린
เอร์เรซ	제렛
เคอเรน	에렌
เร้นท์	에렌
เรนด์	에렌
เคอเรล	에리엘
เบอเรค	エレキ
รดิศ	에딧
รดิน	에딘
อร์เดล	에델
เวอร์ชั่น	耳川
ระยะ	라야
รัฐิ	베라티
อรัง	애랑
ไรน์	ライン
ไรน์	엘라인
เบรช	버로
เซ็นทรัล	전투라
เอ็ง	영아
บ่น	بن
เบเน	베네
นท้อน	펜톤
แอนธิ	센티
เท้งเต้ง	에넹
เอนตัว	엔타
แลนซิง	센싱
นเรน	門人
แฟนนิง	헨닝
นอิง	페닝
โง๊ะ	엔고
งอิซ	엔기
เองิ	엔게
เงร์	엔게
งบุ	更不
เรเนส	제넷
เนเค	엔케
เบเนดิค	베네데티
เนเนะ	에네아
นโฎน	ήδων
แบนด์วิธ	베니토
เอเดน	엔덴
เรนัน	文案
นอะกิ	나키
นอะเด	엔데
เยเมน	에멘
เมณฑ	에멘
เอ็มเบ	엠버
เอล	엘
เอลต้า	엘타
เอลเป	엘레
โลโก้	엘코
โลกิ	엘키
ลมัส	엘마
ลมัน	겔만
เอลเล	엘에이
ลค็อต	엘코
อลคิส	엘키
ลคิน	엘킨
แอลเค	젤케
เบลิซ	벨이
เบลิซ	벨이
เบลิซ	엘빗
เพลิน	엘킨
เลเน	엘레네
ลดอน	엘돈
ลดิน	에딘
เอลเด	엘데
เอเดน	헬덴
เอลเด	텔덱
แอลฌา	엘하이다
ลบิน	엘빈
เอลเบ	엘베
เอลเบ	에벤
ลั้ง	姶良
ลัมะ	喇嘛
ไลน	엘아이운
เอลา	엘가가
เและ	엘앤
คุเร	쿠레
อกไก่	でっかい
เอกเทศ	베켓
เคเล	可樂
เบ้อ	베조
เอิง	체징
เอี๊ยคัง	웨이양
เอิร์น	에이렌에
เอิร์ส	에이레
เอิร์ส	에이라
เอิร์ล	에이라
เอิร์น	에이엔
เอเดน	베이든
เอดิชัน	黒川
หมั้น	에만
เบก้า	베카
เหิม	헤임
เลฮัน	和漢
ไหม่	하임
เรดอน	ήδων
เอเดน	에멘
ดลิน	에딘
ดินิ	디니
ดิอัซ	에딧
เดรน	에덴
เด้นส์	에덴
เดลล์	에델
เดิอน	메데인
เอเดน	뗀
เวชุ	何處
เอะฉิ	エッチ
เอบ	엡
บอร์น	에본
เบรซ	에벳
เลเบล	에벨
เบญัต	베아테
อันนะ	안나
อะเดล	아델
ดุ	賭
ดะอฺ	达
ดาเล	달에
บุ	부추
โบกิ	보피
อัยยัป	아야야
โยนั	가요나
ยมัน	아만
ยกำ	아캄
เยร์ส	아예렛
อัลยัส	아야세
าณิ	카야니
าณะ	아야나
อามั	아야마
อัยา	아야카
อัยา	야자
อายัด	아야도
อาดั	야다
อะเว็น	아원
ว์เด้น	아덴
อาระ	아와라
ตะวัน	아완
อาดิ	자와디
บุรี	배우리
อ่าง	아우랑
ธุตั	바투타
ธุระ	마투라
อัฏฐิ	아틴
บทำ	바탐
ทรุ่น	아룬
โตกั	とか
มัทนะ	아타나
ทลิน	아틴
อัตคัด	아티카
อะธี	題字
ษัติย์	아티야
ทินิ	라티니
ติลั	아틸라
กะเทย	밭에
กะเทย	밭에
สะเต๊ะ	아테나
ตัมสัง	안타상
อาระ	하타라
กะทัน	카탄
อัลตั้ม	바탐
อาลิ	탈이
ตะละ	아탈라
กะตัก	아타코
ไทน์	안타인
สุรั	아수라
สุคิ	바수키
อัษฏา	맛타
สตั้น	استان
สสัส	아싸
อสซัล	맛살
ศรัณ	아란
สมิล	아밀
สลิม	아심
ซกุล	아술
สคิน	앳킨
อาศิร	아시로
สินะ	아시나
ซิเล	다실에
อัซฮัร	暗殺
สหัส	아핫
สหัน	愛山
เซลส์	아셀
เซลล์	아셀
อาศัย	아사야
อาระ	라사라
สัสัน	아산
สัณฑ์	아산테
อะไร	아라이
อรูน	아룬
อรุณิ	자루니
อารุม	아룸
อาร์โธ	아루토
ะเรน	아텐
อร์ทัล	아탈
รสัม	아삼
ะเระ	아레아
อัรร็อย	아로의
โรทั	로타
รอนั	아로나
โรมานซ์	ρωμανός
โรคั	아로카
อาร์เน	아론에
รเน็	아너
ะเระ	아레아
รนำ	안암
อาร์มั	아리마
าร์ไมด์	아라키다
ดาร์ลิง	아링
ะเรน	아렌
อร์เคล	아켈
รกัน	아라칸
ไอนด์	아린
อรินั	아리나
ไอบะ	아리바
ะเรน	아렌
ะเระ	아레아
ะเระ	아래와
เรเร	카레레
ะเระ	아뢰라
เร้นท์	아렌
เรนด์	아렌
ะเระ	아레나
าเรล	카렐
ะเระ	아레아
ะเระ	아뢰자
ะเระ	카레가
เรดิ	아르디
ะเระ	아라우
รดิน	아딘
อร์เดส	바렛
อร์เดส	바렛
ะเรน	아덴
อร์เดม	아뎀
อร์เดล	아델
รดัส	아닷
รดัล	아달
อะไร	아다이
บะโช	아레초
คาร์บอนิ	아론이
รบิน	아랍인
ะเรน	아렌
รบำ	아람
ระยะ	아라야
ระรัว	아라와
ระเว	아래
สารัตถะ	아라타
บาธ	아라토
รัฐิ	라티
ประทัง	라탱
ารัศ	아랫
อาระ	아라라
อรัณย	아란의
รังแค	랑카
แรนดัล	아란다
ปะรำ	아람
อะไร	아람인
อามั	자라마
อารัล	아랄
