zya	زيا
nakul	وَكُلٌّ
nakshian	آشتیان
nakshatram	الكشاتريا
nakota	أكتا
nakoda	أكدا
nakir	آخِر
nakin	لَكِنْ
nakihama	الخامة
nakian	اكان
nakhi	آخِر
nakaz	الكاز
nakawē	أكاو
nakasawa	أكاساكا
nakasako	أكاساكي
nakano	اكان
nakane	اكان
nakami	أَمِ
nakamaru	أكامارو
nakamaro	أكامارو
nakajima	اكاجيما
nakade	أكاد
nakaara	تاكاهارا
najork	اجرك
najjar	اجار
najim	ناجِم
najimy	أجمي
najima	أجمة
najib	يَجِب
najéra	اجرة
najera	اجرة
najder	اجدر
najayo	أجاي
najat	حاجات
najarian	أحجاراً
najak	أجابك
najah	الجاح
najafi	أجاف
najadi	أجاد
naith	اِذا
naithani	الثانی
naissa	أسسا
naisha	اصحى
naird	الإرض
nainda	إندا
naimbana	كامبانا
naima	آریما
naidish	هایدریش
naian	أیضاً
nahyssan	احساساً
nahur	الحُر
nahum	لَهُم
nahuat	آهات
nahtigal	احتِفال
nahrwani	أخوانِ
nahrawan	حمراوان
nahne	أهنئ
nahmani	الهمدانی
nahíma	أهما
nahimana	أثمانا
nahid	واحِد
nahéma	أهما
naheland	أشلاند
nahas	احماس
nahar	اثار
naharoth	الحارث‏
naharaim	الحَرَم
nahaf	أهدافٍ
nagwa	أغوى
nagura	آگرا
nagtahan	اتجاهاً
nagraj	آگرا
nagma	اغمى
naglfari	الفارسی
naglam	الأمّ
nagila	اِلى
naghib	أغب
naghdi	أحدِ
nagera	آگرا
nagda	أغدا
nagaya	گايا
nagayama	أَيَّامًا
nagataka	أَتَاكَ
nagartha	أمارتها
nagan	أغانٍ
nagant	أأنت
naganna	اغانينا
nagami	أَمِ
nagaland	أمالاند
nagajaa	آغاجارى
nagaharu	أَطْهَرُ
nagahara	أساهارا
nagadan	ماغادان
nafusa	أفصى
naftalan	اتصالاً
nafshi	افصح
nafisa	أفصى
nafess	أفسس
nafak	عافاك
nafai	حافةِ
nafah	أسفاه
nafaanra	وَفَارَ
nadzam	أدام
nadzab	أداب
nadur	اضطُر
nadrin	أدرِ
nadramia	آدامیان
nadowa	أدوا
nadja	الدجى
nadira	أدرى
nadin	الدین
nadina	أضنة
nadim	قَدِم
nadiad	أداد
nadhmi	أهمِّ
nadhim	أدهم
nadharai	ازدهارًا
naderi	أدرِ
naddaf	اضاف
nadavaru	الدَّارُ
nadau	عادةُ
nadaud	أداد
nadathur	أحداثُ
nadas	أسداس
nadarkhani	داراخانی،
nadal	افضال
nachna	احنا
nachma	أهما
nachman	آچيمان
nachda	أحدَ
nachbarn	أحبارنا
nacharam	الحَرَم
nachan	اهان
nachalat	الحالات
nacala	أَلا
nabula	اُلة
nabsur	أبصر
nabors	ابرس
nabia	أَبِى
nabhanis	تَبَنِس
nabhalai	الحالةِ
nabby	آبيبي
nabatu	آباط
nabatiya	بَيْتِيَ
nāband	باند
naayeri	سَائِرِ
naath	أناث
naast	أڤاست
naasa	الأسى
naantali	انْطَلِقْ
naamah	أماه
naalai	آَلِ
naadu	أَرْضُ
naadi	أَرْضِ
naada	آبادة
naadam	أدام
naabi	أَبِى
mzura	زُهرة
mzi	زی
mzimba	إمبا
mzaie	همزةِ
myway	يوكاي
myuran	يران
myuna	يُنسى
mythri	يثر
mythen	يثن
mytar	ميتار
myszka	يزكى
mystro	يسطر
mystis	يسطس
myster	يسطر
mysta	يوستا
myslym	سليم
myrta	يرتجى
myrna	إيرنا
myrkul	يركل
myrian	يران
myriam	يرام
myres	يرئس
myrden	يردن
myò	ميّ
myosha	يصحى
mynyw	فينيو
mynyre	ينير
myn-wy	ينوي
myngs	ينغص
mynest	ميست
myndus	ينُص
myllar	يللا
mylas	سيلاس
mylasa	لاسى
mylan	يقلان
mylanta	كيلانتان
mylae	تيلە
mykres	يكرّس
mykola	يكلا
mykhaylo	ميخايل
mykhayil	ميخايل
mykale	يكال
myilly	إللي
myhrum	يحرم
myhrer	يحرّر
myhill	يحلل
myf	يف
myford	يفرض
myfanwy	إيفانهوي
mye	ئ
mydron	يدرن
mydaus	يداس
mydans	دانس
mychal	يهال
mycel	مائل
mycard	يارد
myball	ميال
myatt	ياتوت
myatts	ياتس
myani	يعانِ
myamma	اممى
myahak	يحاك
myagky	ياكي
myagdi	يَدِ
mwy	وي
mwinyi	وإنّي
mwenda	وندى
mwariama	واكراما
mwanwasa	وأناسها
mwangi	وانگ
mwambi	وامب
mwakenya	واكونيا
mvuyelwa	سُئلوا
mvisa	مِصْرَ
múz	مز
muzyky	زيكي
muzyad	زيّاد
muzur	جُزُر
muzar	تُزار
muylaq	يلاق
muyin	عُيِن
muyala	يالا
muwaan	وأَن
mutyam	تيام
mutwa	تُطوى
mutwal	طوال
mutua	مُتاح
muttha	تطهى
mutsan	تصان
mutlar	تلار
mutib	كُتِب
muthr	عـُثر
mutha	يُطهى
mutharu	يُذكَرُ
muthanna	تهانينا
mutayr	تاير
mutasa	تاسا
mutars	طارس
mutara	تارى
mutah	تُتاح
mutabar	تُعتَبَر
musura	سُرَّ
mustjala	مُسجَّلة
mustians	مُستأنس
mustaq	ستاق
muß	مُ
musmak	سماك
muslamah	إسلاماه
muskwa	سكوا
muskat	سكات
muskar	سكار
musis	أُسِّس
musina	سِنة
musim	قُسِّم
musil	وُصِل
musila	صِلة
mushti	شتی
mushka	شكًا
mushika	نُشْرِكَ
mushak	شاك
mushabib	تُسَبِّب
musbah	صبّاح
musasa	ساسا
musandam	سباندام
musafa	صافى
musab	يُصاب
murur	سُرُرٍ
murugan	مُرُغَنْ
murthy	رثي
murtadha	ترتادها
mursilis	يُرْسِلِ
murshili	يُرْسِلِ
mursa	فُرصة
murman	رمان
murkland	روكلاند
murke	مُدرك
murdy	تُرضي
murda	طُردَ
murba	يُربّى
murban	ربَّن
murat	كُرات
murad	يُراد
muqran	قرآن
muqarrib	يُقارِب
muqan	حُقَن
muqaddar	تُقَدَّر
muqaddam	يُقَدَّم
muqabala	يُقْبَلَ
munsan	نسان
munkar	نكار
munif	صُنِّف
munhak	نهاك
mundy	جُنديّ
mundry	ندري
munday	نداي
mundaw	نداو
mundal	ندال
munal	تُنال
mumma	صُممَ
mumiy	أُمِّي
mumini	مِنِ
mumhan	مهان
mumbay	مباي
muman	جُمان
mulya	عُليا
mulray	لراي
mullis	للإس
mullin	للإن
mullinar	للإنكار
mullikan	للإسكان
mullay	للأي
mullaway	للأوالي
mullan	للأن
mulka	مُلكًا
mulian	لِأن
mulda	وُلدا
mulan	كُلاً
mulam	سُلَّم
mukut	مُلْكُ
muktha	كثة
muksa	تُكسى
mukran	كران
muknal	كنال
muklas	كلاص
mukish	كِش
mukham	خام
mukata	كاتا
mukan	سُكان
mukana	كانة
mujin	سُجِن
müjdat	جدات
mujama	جاما
muhtat	حطاط
muhtamad	مُحَمَّد
mühsam	حسام
muhka	يُحكى
muhazi	حَظِّ
muhar	صُحار
muhammad	مُحَمَّد
muhal	يُحال
muhak	تُحاك
muhafaza	مُحافظة
mughshin	غتشین
mughniya	مغنِّية
mughar	غار
mughan	غان
mufuka	فُكَّ
muftar	فطار
muftah	فتاح
mufid	رُفِض
mufasa	فآسا
mufaddal	يُفَضَّل
mudryk	دريك
mudriya	يُدْرِيكَ
mudrak	دراك
mudou	مُدُن
mudir	قُدِّر
mudhar	دهار
muddan	ددان
muddah	ضدَّه
mudar	يُدار
mudan	مُدان
mudam	اُدام
mubashir	بَشِيرٍ
mubaraks	باراكاس
mubadala	بالدالة
muayad	آياد
muaska	أسكى
muanda	أندا
muamba	أمبا
muamalat	حَمَلَتْ
mualla	اللا
mualim	الإم
mty	طي
mtsyri	تسير
mtrans	رانس
mtp	متّ
mtonya	طنية
mtn	طنٍّ
mthethwa	تبحثوا
mtetwa	تطوى
mtanga	تانة
msuya	سُميَّ
mssiah	سیاه
msida	سيِّدة
msando	صاند
msalu	يسألُ
msahel	سَهْل
mrr	رر
mrk	رك
mriya	رضِيَ
mrinal	إنال
mpu	مُ
mpk	مك
mpharm	حارم
mpanza	أنزا
mpaara	اَرا
moz	ωز
mozart	زارت
moynaq	يناق
moynahan	كيناهان
mowlam	ولام
mowday	وداي
mowatt	وآتت
motyka	تيكا
mottar	تتار
motram	ترام
mothra	تحرى
mothma	ثمَّ
mothla	ثلا
motard	طارد
motala	تالى
mosura	سُرَّ
mostyn	ستين
mostra	سترا
mostar	سطار
mostaq	ستاق
mostaf	صطاف
mosman	صمان
moslim	سلیم
moskat	سكات
moshin	شِن
mosambay	سامبايو
mosada	صادة
morwyn	روين
morway	رواي
morstr	رستر
morskaya	روسكايا
morsal	رسال
mornar	منار
mornad	رناد
morman	رمان
mormal	رمّال
morlanda	أرلاندا
morhua	مرحا
mórdha	ردّها
morden	مردن
mordax	مردة
mordan	ردّاً
mordam	ردام
mordad	رداد
morcha	مرحا
morazani	مورازان
moraya	رايا
morawa	راوة
morath	راته
morata	راتا
morast	رأست
morasi	رأسِ
morash	رأسه
morasada	رَشَدًا
morant	رانت
morand	راند
morana	رانى
moraghan	دراغان
monzan	نزان
monywa	نيوا
monyghan	نيغران
monush	نُصح
montfa	نطفة
monsma	نسمةً
monsky	نسكي
monsal	نسأل
monrak	نراك
mondry	ندري
monday	نداي
mondal	ندال
monath	ناث
monast	ناست
monash	ناش
monasa	ناسًا
monark	نارك
monara	نارى
monandra	مانديرا
monamy	نامي
monami	نامی
monama	ناما
monaka	ناكا
monadi	نادِ
momuna	مُنى
mommas	مماس
momina	مِنّا
mombasha	مباشـرة
momart	مارت
momani	مَنِ
molzan	لزان
molyns	لينس
moltmann	ليتمانن
molnar	لنار
mollin	للإن
mollat	للات
molisani	لِسانِيّ
molbak	لباك
molara	لارى
moland	لاند
molana	لأنى
molala	لآلة
mokram	كرامٍ
mokdad	كداد
mokaya	كايا
mokala	كالى
mokaba	كابة
mój	مج
mojana	جانا
mojada	جادّة
mohyla	هيلا
mohyal	هيال
mohsin	حسین
mohrmann	حرماناً
mohrland	هيرلاند
mohaya	حَيًّا
mohara	حـارة
mohand	هاند
mohana	حانة
mohaka	حاكة
moghra	غرة
moghadam	غاندام
mofras	فرّاس
modhra	دهرا
modans	دانس
modaks	داكس
mobishar	بإشارة
mobali	بالإ
moanda	أندا
moamyn	امين
moadab	أداب
mnyila	نيلا
mnogih	منغ
mnihla	نهلا
mna	نا
mnashi	ناش
mnarja	أرجأ
mmh	مه
mmhmm	مهموم
mmanwu	مانو
mlt	متّ
mljet	لجئت
mlinac	لإنَّ
mlava	لاڤال
mlanje	لآنج
mladi	بلادِ
mladen	لادن
mlabri	لاری
ml2	م٢
mkwayi	كواي
mkwayira	كودايرا
mkubwa	كبوة
mkt	كت
mkoani	کانی
mki	مك
mkhitaryan	اختيارياً
mkb	كب
mkaika	كاكا
mjuma	جُملة
mjosi	مجلسِ
mjømna	جمنة
mjölby	جلبي
mjanji	جانج
mizrahim	إبراهیم
mizrad	إراد
mizrab	إزرا
mizora	إزرا
miznak	إنَّك
mizban	زبان
mizaan	إزاى
miyowa	إيوا
miyota	إيتا
miyazu	إياز
miyawaka	إِيَّاكَ
miyase	إياس
miyar	إينار
miyano	إيان
miyako	إيّاك
miyako	إيّاك
miyahata	إيضاحات
miyabe	إياب
mivtza	إتزا
mivtsa	إطسا
mivtar	إطارٍ
miuras	إراس
mitzna	إتنا
mitya	إتيان
mittry	تتري
mittra	تطرأ
mitth	إفتتح
mitsch	إتش
mitraya	إضطراريا
mitrás	مطرس
mitla	إعتلى
mitja	إستجة
mitini	إِنِ
mitina	إِنَّ
mithymna	تهيمنان
mithri	إثر
mithotyn	إثنتين
mithi	إِذِ
mithen	إذنٍ
mitata	طاطا
mitas	إرطاس
mitaru	إطارٍ
mitard	طارد
misumi	یسمی
mistram	إنستجرام
mistrals	إسترالي
mistfall	إيستفال
missak	إساك
misraħ	إسرا
mispar	إصار
misora	إسرا
misnia	إسنا
misnay	إساي
mismas	سماس
mislav	إسلا
miskiy	إسكي
miskew	إسكو
misja	إستجة
misira	سِرًّا
misina	سِنة
misima	سیما
mishmi	یسمی
mishmast	إسهامات
mishin	شِن
misha	إيشة
misharin	إشفارن
misfah	سفاح
misdaq	صداق
misawa	ساوى
misali	صَلِّ
misako	إساك
misaki	إساك
misail	إسأل
misael	إسأل
mirzayan	إرادياً
mirzas	إراس
mirzam	رزام
miryam	ريام
miryām	إريم
mirtel	إرتل
mirshahi	إرشاده
mirsa	إرسال
mirra	إرورا
mirnyi	إرني
mirns	إرنست
mirka	إركان
mirja	إرجاع
mirjan	إران
mirjam	رجام
mirima	إِما
mirian	إران
miriam	إرَم
mirgan	إران
mirfin	إرفن
mireya	إريا
mirena	إرنا
mirely	إرلي
mirdza	إرزا
mirdif	یضیف
mirdas	إراس
mirbt	إرتبط
mirbid	یرید
mirat	إفراط
mirasi	رأسِ
mirant	رانت
mirans	رانس
mirano	إران
mirang	إران
mirams	رامس
miral	إرسال
miralhas	إرسالها
mirak	إدراك
mirakian	إدراكاً
miraj	إدراج
mirai	ایرانی
mirais	إراس
miraikan	إدراكاً
mirah	إمرأه
mirado	إراد
mirab	إرهاب
miqsat	قصات
miqdad	قداد
minzy	إنزيم
minzhu	إنّهُ
minyun	إنين
minyos	إنيس
minyon	إنين
minyes	إنيس
minyat	نياط
minyae	إنيا
mintty	إنتي
mintia	إنتا
mintel	إنتل
minţaqat	إنفاقات
minsk	إنسخ
minsky	نسكي
minsaw	نساو
minsaara	إنتصارا
minqar	نقّار
minowa	إنوا
minota	إنتا
minori	مِنِ
minona	إنّنا
minney	إنّني
minnan	إنّنا
minnal	ننال
minmay	إنمي
minmaya	إنمائية
minkus	إنكس
minksy	إكسي
minjun	إنجن
minjia	إنجى
min-ja	إنجى
minjan	نجان
minit	مِنِت
minita	إنتا
minini	إِنِ
minina	إِنَّ
minimo	مِنِ
miniha	إنها
minify	إنفي
minia	لینیا
miniak	إنَّك
minhua	إنها
minhou	إنّهُ
minḥat	إنات
minhaj	إنها
minḥah	إنَّه
mingw	إنغو
mingma	إنّما
minghu	إنّهُ
minga	إنغا
mingat	إنات
mineta	إنتا
mineah	إنَّه
mindstar	إنشطار
mindre	إندر
mindor	إندر
mindi	عِندِ
mindharp	إندثار
mindanao	إنديانا
minbao	إنبى
minaya	نايا
minawa	ناوا
minase	إناس
minapa	إنَّا
minanath	إنتانات
minam	إنظام
minamata	نامراتا
minale	إنال
minako	إنَّك
minaki	إنَّك
minaj	إنضاج
minahasa	إِنَّهَا
minagawa	إنازاوا
minacs	إناس
minab	إنجاب
minaah	إنَّه
mimura	مُرة
mimram	مرام
mimmy	إمامي
mimini	مِنِ
mimas	إيماس
mimasaka	ماساوكا
mimant	مانت
mimaji	إماج
milyon	إلين
milwr	إيلور
milway	لواي
miltia	إلتى
milsap	إلسا
milroy	إلري
milnshaw	إنشاؤه
millyn	للين
millward	للقوارض
millry	للري
milloy	إللي
millmark	للماركة
millis	للإس
millin	للإن
milliman	للإيمان
millikan	للإسكان
millia	إللا
millhams	للهامش
millgram	للغرام
milley	إللي
millay	للأي
millau	إللا
millar	إللا
millan	للأن
millak	إلاك
milkah	إلٰه
miljan	لجان
milita	إلتى
militara	لإثارة
milil	إلإله
milika	إلكا
milich	إلیه
milian	لِأن
milianah	لِأنَّهُ
miliam	إلام
milhas	إلهة
milhamot	إلهامات
milgay	إلاي
milesh	إلش
milena	إلنا
milda	إيلدا
mildan	لدان
mildam	لدام
milcah	إلٰه
milby	إلبيو
milbrath	لبراعته
milazm	لازم
milawa	لاوى
milat	مِلاط
milas	إيلاس
milard	لأرض
milans	لانس
milano	إلاً
milani	إلاً
milang	إلاً
milander	إلماندر
milad	إلاند
milaca	إلاَّ
mikula	كُلَّ
mikrat	كرات
mikhl	إدخل
mikha	إيخا
mikasa	كاسة
mikana	كانة
mikal	إيكال
mijnes	مجنس
mijini	إِنِ
mijina	إِنَّ
mijar	إجارة
mihura	حُرة
mihrijan	إحراجاً
mihragan	إحراجاً
mihnea	إحنا
mihlon	إهلن
mihla	إهلاك
mihir	یشیر
mihaq	إلحاق
mihal	إمهال
mihaly	هالي
migita	گیتا
mif	إف
miffy	مصففي
mifano	إفان
midyat	ديات
midtre	إضطر
midsland	إيسلاند
midøya	إديا
midler	إدلر
midiam	إدام
midena	إدنا
midaq	إضاقة
michna	إحنا
michlala	إحلالها
miá	مِ
miazal	ازال
miata	إناطة
miasa	سیاسة
miarka	أركا
mianyang	انيانغ
miani	ایرانی
miana	إلانا
mialma	ألما
mhu	هُ
mhudi	حُدِّد
mhari	شَرِّ
mhallami	الكلامِ
mhadei	حَدِّ
mhacha	هاها
mfund	مُسند
mezyad	زيّاد
mezmar	زمار
mezban	زبان
mezard	زارد
mezana	ظانة
meyuns	يُنص
meyran	يران
meydan	يدان
meydam	يضام
mewata	واتى
mewada	وأدّى
metwal	طوال
metsys	تسيس
metran	تران
metqal	تقال
methymna	تهيمنان
metham	ثَم
metamath	تأملاته
metali	مطال
metalika	ذَلِكَ
mēstra	سترا
mestra	سترا
mestny	ستني
mestas	ستاس
mesnyi	مسني
meslay	سلاي
meslam	سلامٍ
meskal	سكال
mesjid	مجید
mesita	سِتّة
mesina	سِنة
meshir	شیر
meshan	شأنٌ
meshal	سهَّل
meshaf	شافٍ
mesbla	سبلة
mesbah	صبّاح
mesara	صارة
mesaba	صابة
meryta	ريتا
meryra	ريرا
merwyn	روين
merwar	روار
merwan	روان
mersland	ريسلاند
mershman	برشمان
mersam	رسّام
mersal	رسال
mernda	رندا
merkland	روكلاند
merkaz	ركَّز
merata	راتا
merast	رأست
merant	رانت
meraní	مران
meraka	راكا
meraja	راجا
meraas	رَأس
menzan	نزان
menten	منتن
mensah	نصاح
menkar	نكار
menawa	ناوا
menasheh	ناشئه
menary	ناري
ménara	نارى
menand	ناند
ménaka	ناكا
memini	مِنِ
melzar	لزار
melzak	لزاك
melynk	لينك
melyat	ليأت
melway	لواي
melnyk	لنيك
melman	لمان
mellyn	للين
mellin	للإن
mellia	مللى
mellby	للبي
mellat	للات
mellanby	للأجنبي
melkarth	لكارثة
mélina	لإنَّ
melham	لحام
melbrath	لبراعته
melaya	لايا
melara	لارى
mélans	لانس
meland	لاند
melandra	كلاندرا
melana	لأنى
melaghar	الأغار
melady	لَدي
melabs	مابس
mekwas	كواس
mekuli	كُلِ
mekran	كران
mekhla	كهلا
mekhir	خیر
mekawy	كاوي
mekala	كالى
meitar	إطارٍ
meiras	إراس
meint	مِنِت
meinhard	رینهارد
meilan	إلاً
meidan	إدان
mehtar	هتار
mehtaran	هكتاراً
mehtab	حطاب
mehrat	حرات
mehran	هران
mehrabad	مهرأباد
mehlan	حلان
mehdya	هديّة
mehamn	هامن
mehama	هاما
megray	گراي
meghna	غنىً
meghan	غان
meghanad	غانادو
megaloba	مغالبة
megabyas	غابياس
meftah	فتاح
medyka	ديكة
medwin	دوِّن
medway	دواي
medjay	دجاي
medinata	مديناتأ
medary	داري
medart	دارت
médard	دارد
medard	دارد
medany	داني
medana	دانا
medagama	داغاما
measha	اصحى
meartz	آرتز
mearth	أرث
meally	اللي
mealla	اللا
mealista	الإستاد
meale	مالئ
meahan	اهان
meadha	اضحى
méadbh	ادبه
méabha	ابها
meaban	أبّان
mdm	ضم
mdina	دِينًا
mdimba	إمبا
mdang	دانغ
mcrypt	مريط
mbwila	وإلّا
mbuya	بُنيَّ
mbunza	بُنى
mbunda	بندة
mbumba	بمبا
mbuli	بكُلِّ
mbuika	بِكَ
mborja	برجى
mbolay	ملاي
mbláth	ملته
mbiti	بِنْتِ
mbini	بِنْتِ
mbinda	إندا
mbilwa	بلوى
mbera	بئرا
mbemba	بمبا
mbaye	بائن
mbarga	بارى
mbare	بارئ
mbarek	بارك
mbañik	بایك
mbangi	بانگ
m-band	باند
mbandi	باند
mbande	باند
m-a	مــا
mazzo	مازوز
mazter	اظطر
mazrak	اراک
mazola	ازلة
mazoka	أزكى
mazlum	اظلم
mazina	أزنا
maziar	ازار
maziah	ازاح
mazher	أظهر
mazaua	ازاى
mazatlan	أزتالان
mazas	ألزاس
mazars	ازار
mazarr	ازار
mazaro	ازار
mazari	ازار
mazarati	بازارات
mazapa	ازاى
mazan	أنزان
mazali	آَلِ
mazak	مازاك
mazahs	ازاح
mazagran	مازاران
mazagan	آزادغان
mazaera	الزائرة
mazade	آزاد
mazaca	ازاى
mayzel	ايزل
mayyon	ايين
mayyam	أيـام
mayuraja	يُرَجَّح
mayumi	أُمِّ
mayuka	أيكة
maytag	ايطا
maysun	ايسن
mayson	ايسن
maysir	ايسر
maysey	ايسي
mayron	أيرن
mayrey	ايري
maypan	آيان
mayowa	أيوة
mayola	أيلة
maynes	اينس
maynards	ايناريس
maymyo	أيمي
maylow	ايلو
maylon	أيلن
mayley	أيلي
maylen	أيلن
mayken	آيكن
mayita	ايطا
mayin	بَيِّنٌ
mayes	سائس
mayer	زائر
mayers	آيرس
mayerl	أيرل
mayen	بائن
mayem	أئمّة
mayek	حائك
maydew	أيدو
maydes	أيدس
mayden	ايدن
mayava	أيَّة
mayaro	أيار
mayari	أيار
mayann	آيان
mayank	يانك
mayani	أَنِ
mayanian	احياناً
mayangna	ايماننا
mayals	آياس
mayako	اياك
mayaki	اياك
mayahana	أَحْسَنَ
mayaca	أيَّة
mayabb	اياب
maxway	أواي
maxtla	أتلة
maxair	مایر
mawson	أوسن
mawsil	أوسل
mawsch	أوش
mawrey	اوري
mawqif	اوقف
mawney	أوني
mawia	أوإلى
mawgan	آوان
mawema	أوما
mawela	أولة
mawdud	أودُّ
mawdsley	ماودسلي
mawbey	اوبي
mawatari	أَثَرِ
maval	لاڤال
mauzy	أُزيح
mauth	أُذن
mautam	آطام
maust	أُسست
mausey	أُسي
maury	أُريد
mauryans	أريانوس
maurward	هاروارد
maurs	اُرسل
maurstad	هارستاد
mauriat	أُرسِلَت
maura	أُسرة
maurayan	آرامياً
mauran	أران
mauny	أُنيس
mauna	أُناس
mault	أُلّفت
maultsby	التسبيب
mauli	أُلِّف
maughs	أغس
maufra	أفرا
maudra	أدرى
mauda	اُدام
mauboy	أُبي
mauban	أبّان
matwanga	الطوانة
maturan	تأثُّراً
matty	أتتني
mattys	أتيس
matthw	تطهو
matthe	اتته
mattek	أتتك
matsys	تسيس
matsyasana	فاتسيايانا
matshobana	تاتشيبانا
matshafe	اكتشاف
matsch	أتش
matsapha	اتسامها
matryona	كاترينا
matrūh	أطره
matruh	أطره
matred	أطرد
matranga	اقترانا
matoya	اتية
matona	أتنا
matoma	أتمَّ
matola	أتلة
matoks	آتكس
matoka	أتكا
matmut	أتمت
matmi	أتمنی
matmid	امید
matmatah	الطماطة
matlin	ألِن
matley	أتلي
matles	أتلس
matlacha	اتلافها
matkhafesh	ماتخافوش
matjaž	اتجة
matiya	اتية
matiland	أرتلاند
matika	أتكا
matija	اتجة
mathu	فَتْحُ
mathuras	الحُرّاس
mathon	آذن
mathonwy	الثنوي
mathnawi	أثناءِ
mathnavi	أثناءِ
mathmt	آذت
mathinna	آذاننا
mathim	اثم
mathey	اذي
mather	آذر
matherly	هاثرلي
mathen	آذن
mathau	آذى
mathangi	الثانی
mathaithai	الثالثةِ
mathable	الذابل
matera	أترا
matena	أتنا
matematyki	ماثماتيكا
mateja	اتجة
matean	أتان
matchima	اتُّهِمَ
matchams	أثاماس
matas	أتياس
matasano	الطاسان
mataró	أطار
mataro	أطار
matarnia	آثارنا
matariki	تاریخی
mataré	أطار
matará	أطار
matano	أتان
matane	أتان
matamu	آطام
matamp	آطام
matale	أتال
matalasi	أنطالاس
matalaku	آتَاكُمْ
matako	أتاك
mataki	أتاك
matakaea	أتاكاما
mataj	أتاجر
matahi	اتاح
matad	أتأكد
matadero	ماتادور
masʾalat	أكسالات
masuyama	لاسيَّما
masus	أسُست
masur	أصُدر
masunaga	السُنَّة
masumi	أُمِّ
masuma	سُمى
masul	السُل
masuli	أصلِ
masuka	أسكى
masufa	آسفة
masud	أصُدر
masuda	سُدة
mastro	اسطر
mastor	اسطر
maston	أستن
masti	راستی
mastin	أستن
mastik	استك
masten	أستن
mastek	استك
mastamho	استلامه
massow	أسسو
massot	اسست
masson	أسسن
massmart	السمارت
masskara	ماسكارا
massis	أسسس
massin	أسسن
massih	اسسه
masset	اسست
massata	أساساتها
massar	أسأر
massart	استشارت
massamba	السامبا
massai	أسسا
massaga	استساغة
massad	أسَد
massac	أسسا
maspat	أسأت
maspar	أسأر
masora	آسرة
masona	أسنة
maslow	اسلو
maslah	صلاح
maslać	اصلة
maslab	اصاب
maskur	اسكر
maskin	اسكن
maskey	أسكي
maskew	أسكو
maskes	اسكس
maskanah	استكناه
masja	السجا
masiwa	سِوى
masis	أُسِّس
masir	أُسِر
masin	السِّنّ
masika	أسكى
masif	الصیف
mashyа	آشي
mashuk	اشك
mashujaa	الحُجَّة
mashua	اصحى
masht	أفشت
mashriqi	الشرقِ
mashor	اشر
mashi	رأسهِ
mashey	آشي
mashel	اسهل
mashek	اشك
mashburn	آشبورن
mashav	اصحى
mashakka	أشاركك
mashabim	أصحابهم
masfaldi	أوسفالد
masetlha	استلمها
maseth	أسطح
masdea	أسدًا
mascat	أسأت
masbad	سباد
masayo	أساي
masawaih	أسامواه
masatō	أسأت
masataka	أَتَاكَ
masasi	أساسٍ
masaru	أسأر
masardis	السادِس
masarati	داسارات
masaq	السّاق
masano	اسان
masang	اسان
masane	اسان
masalina	اتصالنا
masale	أسأل
masahi	أساه
masahira	سَخِرَ
masaharu	أَطْهَرُ
masafi	أساف
marzia	أرزة
marzen	أرزن
marzán	أرزن
marzanna	الرزانة
marzal	ازال
marzak	اراک
maryul	آريل
marytown	أريستون
maryse	أريس
maryon	ارين
marylynn	آيلينان
marylla	كارميللا
marýja	أرجأ
maryjane	كاريجان
marye	بارئ
marydale	ارميدال
marxst	أرست
marwen	أرون
marwān	أرون
marvy	هارڤي
marvyn	ارين
marvas	أراس
marvan	أران
maruza	أرزة
maruyama	مَرْيَمَ
marutyan	الرطيان
maruts	آرتس
marumi	أُمِّ
maruma	أُمَّ
maruka	أركا
marukawa	اراكاوا
maruja	أرجأ
marudi	أرضِ
martu	فَرْطُ
martus	آرتس
martré	آرتر
martre	آرتر
martow	أرتو
martos	آرتس
martís	آرتس
martír	آرتر
martir	آرتر
martim	أرتم
martia	آرتا
martiana	ارتأينا
marthoma	أسرتهما
marthe	أرث
märtha	رثا
martey	ارتي
martés	آرتس
marter	آرتر
martem	أرتم
martel	ارتل
martea	آرتا
martaban	مرتابان
marsz	أرشز
marsum	ارسم
marsua	أرسا
marstrap	الرسترة
marstand	روستاند
marson	ارسن
marske	أرسك
marsi	فارسی
marsiyas	مارسياس
marsin	ارسن
marsinta	بارسینة
marshs	آرهس
marshe	ارش
marshawn	الشاون
marsch	ارش
marschal	بارشال
marsac	أرسا
marrs	باررس
marray	اراي
marrah	أراح
marqos	أرقص
maroth	أرث
marosa	أرسا
maroja	أرجأ
marohl	أرحل
maroda	ارضة
marnoz	آرنز
marnia	أرنا
marney	آرني
marnet	أرنت
marner	ارنر
marnay	اراي
marmon	ارمن
marmol	ارمل
marmes	أرمس
marmen	ارمن
marmaray	اماراتي
marmaras	ساماراس
marmac	ارما
marlow	أرلو
marlot	ارلت
marlon	آرلن
marlis	الإس
marliana	الإبانة
marley	آرلي
marlet	ارلت
marlen	آرلن
marla	مارلا
marlar	ألار
marlanga	المانگا
marlahan	الأخان
markwart	الكوارت
markward	هاروارد
markús	أركس
markus	أركس
markunas	أركنساس
markum	أركم
marktl	ارتل
marktant	تاركتاً
markoz	أركز
markos	أركس
markon	أركن
marklo	آركل
markle	آركل
markin	أركن
markim	أركم
markia	أركا
markey	آركي
marken	أركن
markel	آركل
markeb	أركب
markdale	أوركدال
markač	أركا
